Released,Title,ProdBudget,DomesticBO,InternationalBO,CPI,InflAdjBudget,InflAdjDomesticBO
1998-07-01,Armageddon,1.4e+08,201578182,353021818,163.2,216553063.72549,311802663.516532
1998-07-15,There's Something About Mary,2.2e+07,176484651,193400000,163.2,34029767.1568627,272987799.104099
1998-11-20,A Bug's Life,4.5e+07,162798565,200296754,164,69266798.7804878,250589676.524604
1998-11-06,The Waterboy,2.3e+07,161491646,28700000,164,35403030.4878049,248577985.515817
1998-06-26,Doctor Dolittle,71500000,144156605,1.5e+08,163,110732444.785276,223256130.120215
1998-09-18,Rush Hour,3.5e+07,141186864,104113136,163.6,54005898.5330073,217854955.753643
1998-05-08,Deep Impact,8e+07,140464664,2.09e+08,162.8,124048648.648649,217805646.901081
1998-05-19,Godzilla,1.25e+08,136314294,239685706,162.8,193826013.513514,211370049.527432
1998-12-25,Patch Adams,5e+07,135014968,67158032,163.9,77010067.1140939,207950234.941745
1998-07-10,Lethal Weapon 4,1.4e+08,130444603,154955397,163.2,216553063.72549,201772703.043609
1998-06-05,The Truman Show,6e+07,125618201,138500000,163,92922331.2883435,194545601.486129
1998-06-19,Mulan,9e+07,120620254,182879746,163,139383496.932515,186805253.371202
1998-12-18,You've Got Mail,6.5e+07,115821495,134978505,163.9,100113087.248322,178388422.064094
1998-11-20,Enemy of the State,8.5e+07,111549836,139100000,164,130837286.585366,171704445.426854
1998-12-18,The Prince of Egypt,6e+07,101413188,117200000,163.9,92412080.5369127,156196728.282685
1998-11-20,The Rugrats Movie,2.8e+07,100494685,40400000,164,43099341.4634146,154687669.431189
1998-12-11,Shakespeare in Love,2.6e+07,100317794,179182206,163.9,40045234.8993289,154509600.973557
1998-07-17,The Mask of Zorro,6.5e+07,93828745,139871255,163.2,100542493.872549,145135015.680484
1998-12-25,Stepmom,5e+07,91137662,68607617,163.9,77010067.1140939,140370349.344832
1998-10-02,Antz,6e+07,90757863,61700000,164,92355731.7073171,139700147.425957
1998-03-06,Everest,0,87178599,40811529,162.2,0,135679891.201979
1998-06-19,The X Files: Fight the Future,6.6e+07,83898313,105278110,163,102214564.417178,129933780.585319
1998-01-12,The Wedding Singer,0,80245725,43100000,161.6,0,125353654.537593
1998-04-10,City of Angels,5.5e+07,78750909,1.2e+08,162.5,85440892.3076923,122337235.181852
1998-05-15,The Horse Whisperer,6e+07,75383563,111500000,162.8,93036486.4864865,116890364.005878
1998-06-12,"Six Days, Seven Nights",8e+07,74339294,90460706,163,123896441.717791,115129675.08016
1998-12-11,Star Trek: Insurrection,7e+07,70187658,47612342,163.9,107814093.959732,108103125.063221
1998-08-21,Blade,4.5e+07,70141876,61095812,163.4,69521144.4308445,108363188.712142
1998-04-03,Lost In Space,8e+07,69117629,66929688,162.5,124277661.538462,107372216.290037
1998-06-05,A Perfect Murder,0,67658331,0,163,0,104782830.793307
1998-07-29,The Parent Trap,0,66308518,17668900,163.2,0,102566519.45712
1998-07-31,Ever After: A Cinderella Story,2.6e+07,65705772,0,163.2,40216997.5490196,101634187.364632
1998-05-29,Hope Floats,3e+07,60110313,21418687,162.8,46518243.2432432,93207538.7187162
1998-03-06,U.S. Marshals,0,57833603,0,162.2,0,90008982.1684155
1998-10-23,La vita è bella,2e+07,57598247,171787114,164,30785243.902439,88658804.1123963
1998-03-13,The Man in the Iron Mask,3.5e+07,56968169,0,162.2,54472040.6905056,88662069.1380456
1998-12-25,A Civil Action,6e+07,56709981,0,163.9,92412080.5369127,87344788.8569798
1998-08-07,Snake Eyes,7.3e+07,55591409,48300000,163.4,112778745.410037,85883963.8711812
1998-10-02,What Dreams May Come,8e+07,55485043,1.6e+07,164,123140975.609756,85406029.0846159
1998-07-10,Small Soldiers,4e+07,55143823,16600000,163.2,61872303.9215686,85296884.4013297
1998-08-05,Halloween: H2O,1.7e+07,55041738,0,163.4,26263543.4516524,85034769.2716156
1998-10-23,T-Rex: Back to the Cretaceous,0,53743249,49300000,164,0,82724951.4287256
1998-12-25,Mighty Joe Young,8e+07,50632037,0,163.9,123216107.38255,77983531.3498658
1998-10-16,Practical Magic,6e+07,46850558,21486439,164,92355731.7073171,72115292.7497683
1998-07-29,The Negotiator,5e+07,44705766,4400000,163.2,77340379.9019608,69151218.5249632
1998-11-13,Meet Joe Black,8.5e+07,44650003,0,164,130837286.585366,68728061.6299817
1998-09-25,Ronin,5.5e+07,41610884,29081217,163.6,84866411.9804401,64206662.2620782
1998-11-06,The Siege,7e+07,40934175,75691623,164,107748353.658537,63008428.0660061
1998-07-16,Mysteries of Egypt,0,40593286,49406714,163.2,0,62790003.2141789
1998-10-23,Pleasantville,0,40584421,9221041,164,0,62470064.9562134
1998-12-25,The Faculty,1.5e+07,40283321,0,163.9,23103020.1342282,62044425.0757718
1998-11-13,I Still Know What You Did Last Summer,2.4e+07,40020622,0,164,36942292.6829268,61602230.4698659
1998-03-20,Primary Colors,6.5e+07,39017984,0,162.2,101162361.282367,60725406.0602713
1998-09-25,Urban Legend,1.4e+07,38116707,34455157,163.6,21602359.4132029,58815057.4472677
1998-08-14,How Stella Got Her Groove Back,2e+07,37672944,0,163.4,30898286.4137087,58201470.6879804
1998-06-26,Out of Sight,4.8e+07,37562568,4e+07,163,74337865.0306748,58173356.4622822
1998-02-13,Sphere,7.3e+07,37068294,13100000,161.9,113823638.048178,57797918.8947869
1998-12-23,The Thin Red Line,5.2e+07,36400491,61308543,163.9,80090469.7986577,56064085.0979195
1998-12-11,Jack Frost,5e+07,34645374,0,163.9,77010067.1140939,53360851.5386577
1998-04-03,Mercury Rising,6e+07,32983332,0,162.5,93208246.1538462,51238642.1338339
1998-10-16,Bride of Chucky,2.5e+07,32404188,18288000,164,38481554.8780488,49878541.5520244
1998-10-02,A Night at the Roxbury,1.7e+07,30331165,0,164,26167457.3170732,46687615.6185061
1998-11-06,Elizabeth,2.5e+07,30082699,52067943,164,38481554.8780488,46305161.2979329
1998-07-10,Madeline,0,29858048,0,163.2,0,46184655.5090196
1998-03-20,Wild Things,2e+07,29795299,25781400,162.2,31126880.3945746,46371735.4146794
1998-01-23,Spice World,2.5e+07,29342592,26700000,161.6,39053063.1188119,45836723.8978218
1998-04-17,The Object of my Affection,1.5e+07,29145924,0,162.5,23302061.5384615,45277340.9762215
1998-04-17,Paulie,0,27084499,0,162.5,0,42074977.49576
1998-04-24,The Big Hit,1.3e+07,27066941,0,162.5,20195120,42047701.6559939
1998-05-15,Bulworth,3e+07,26528684,2674699,162.8,46518243.2432432,41135592.5078378
1998-01-30,Great Expectations,0,26333044,29073394,161.6,0,41135441.177698
1998-06-12,Can't Hardly Wait,1e+07,25358996,0,163,15487055.2147239,39273617.1241963
1998-01-16,Fallen,0,25310938,0,161.6,0,39538786.3724134
1998-11-20,Waking Ned Devine,3e+06,24793251,30400000,164,4617786.58536585,38163313.9584695
1998-08-14,The Avengers,6e+07,23385416,25200000,163.4,92694859.2411261,36128464.0735863
1998-09-18,One True Thing,3e+07,23337196,3371000,163.6,46290770.1711491,36009892.5491687
1998-04-08,The Players Club,5e+06,23047939,0,162.5,7767353.84615385,35804299.5275138
1998-09-11,Rounders,1.2e+07,22921898,0,163.6,18516308.0684597,35369077.0734841
1998-10-16,Beloved,5.3e+07,22852487,0,164,81580896.3414634,35175969.3036159
1998-05-15,Quest for Camelot,4e+07,22772500,15400000,162.8,62024324.3243243,35311223.1418919
1998-02-13,The Borrowers,2.9e+07,22619589,31426243,161.9,45217609.6355775,35269094.673076
1998-05-01,He Got Game,2.5e+07,21567853,844095,162.8,38765202.7027027,33443287.7362838
1998-12-04,Psycho,2e+07,21541218,15685000,163.9,30804026.8456376,33177812.8779866
1998-10-30,Vampires,2e+07,20268825,0,164,30785243.902439,31199036.0620427
1998-01-16,Hard Rain,7e+07,19870567,0,161.6,109348576.732673,31040260.2903032
1998-07-24,Jane Austen's Mafia,1e+07,19843795,10300000,163.2,15468075.9803922,30694532.8799326
1998-04-10,Species 2,0,19217565,7600000,162.5,0,29853925.4832923
1998-02-06,The Replacement Killers,3e+07,19035741,0,161.9,46776837.5540457,29681058.8159296
1998-04-10,The Odd Couple II,0,18912328,0,162.5,0,29379748.7261046
1998-11-25,Babe: Pig in the City,8e+07,18319860,50812000,164,123140975.609756,28199067.9179268
1998-09-11,Simon Birch,2e+07,18253415,57176,163.6,30860513.4474328,28165487.9534535
1998-07-24,Disturbing Behavior,1.5e+07,17507368,1506870,163.2,23202113.9705882,27080529.8440686
1998-03-06,The Big Lebowski,1.5e+07,17498804,28690764,162.2,23345160.295931,27234158.9578052
1998-01-16,Half Baked,8e+06,17394881,0,161.6,12496980.1980198,27172935.4254889
1998-12-11,Rushmore,1e+07,17105219,1975216,163.9,15402013.4228188,26345481.2638255
1998-08-28,54,1.3e+07,16757163,0,163.4,20083886.1689106,25888381.0927601
1998-12-11,A Simple Plan,1.7e+07,16316273,0,163.9,26183422.8187919,25130345.5756376
1998-08-21,Dance With Me,0,15923354,0,163.4,0,24600217.6279437
