movie,distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,lc_movie
The Devil Inside,Paramount Pictures,203917,5,2207,92,51688990,19,2012-01-24,the devil inside
The Devil Inside,Paramount Pictures,176370,-14,2207,80,51865360,20,2012-01-25,the devil inside
The Devil Inside,Paramount Pictures,182392,3,2207,83,52047752,21,2012-01-26,the devil inside
The Devil Inside,Paramount Pictures,207572,14,722,287,52255324,22,2012-01-27,the devil inside
The Devil Inside,Paramount Pictures,297774,43,722,412,52553098,23,2012-01-28,the devil inside
The Devil Inside,Paramount Pictures,137038,-54,722,190,52690136,24,2012-01-29,the devil inside
The Devil Inside,Paramount Pictures,49560,-64,722,69,52739696,25,2012-01-30,the devil inside
The Devil Inside,Paramount Pictures,57207,15,722,79,52796903,26,2012-01-31,the devil inside
The Devil Inside,Paramount Pictures,51188,-11,722,71,52848091,27,2012-02-01,the devil inside
The Devil Inside,Paramount Pictures,53767,5,722,74,52901858,28,2012-02-02,the devil inside
The Devil Inside,Paramount Pictures,53522,,303,177,52955380,29,2012-02-03,the devil inside
The Devil Inside,Paramount Pictures,75734,42,303,250,53031114,30,2012-02-04,the devil inside
The Devil Inside,Paramount Pictures,25775,-66,303,85,53056889,31,2012-02-05,the devil inside
The Devil Inside,Paramount Pictures,15230,-41,303,50,53072119,32,2012-02-06,the devil inside
The Devil Inside,Paramount Pictures,15267,,303,50,53087386,33,2012-02-07,the devil inside
