Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
1998-04-08,The Players Club,Drama,5e+06,23047939,44081020,0,23047939
1998-09-11,Rounders,Drama,1.2e+07,22921898,43839960,0,22921898
1998-10-16,Beloved,Drama,5.3e+07,22852487,43693031,0,22852487
1998-05-15,Quest for Camelot,Adventure,4e+07,22772500,43554221,15400000,38172500
1998-02-13,The Borrowers,Adventure,2.9e+07,22619589,43261772,31426243,54045832
1998-05-01,He Got Game,Drama,2.5e+07,21567853,41250240,844095,22411948
1998-12-04,Psycho,Horror,2e+07,21541218,41110613,15685000,37226218
1998-10-30,Vampires,Horror,2e+07,20268825,38717821,0,20268825
1998-01-16,Hard Rain,Action,7e+07,19870567,38004042,0,19870567
1998-07-24,Jane Austen's Mafia,Comedy,1e+07,19843795,37952841,10300000,30143795
1998-04-10,Species 2,Horror,0,19217565,36755122,7600000,26817565
1998-02-06,The Replacement Killers,Action,3e+07,19035741,36407373,0,19035741
1998-04-10,The Odd Couple II,Comedy,0,18912328,36171337,0,18912328
1998-11-25,Babe: Pig in the City,Adventure,8e+07,18319860,34717246,50812000,69131860
1998-09-11,Simon Birch,Drama,2e+07,18253415,34911114,57176,18310591
1998-07-24,Disturbing Behavior,Thriller/Suspense,1.5e+07,17507368,33484239,1506870,19014238
1998-03-06,The Big Lebowski,Comedy,1.5e+07,17498804,33467859,28690764,46189568
1998-01-16,Half Baked,Comedy,8e+06,17394881,33269093,0,17394881
1998-12-11,Rushmore,Black Comedy,1e+07,17105219,30211256,1975216,19080435
1998-08-28,54,Drama,1.3e+07,16757163,32049406,0,16757163
1998-12-11,A Simple Plan,Drama,1.7e+07,16316273,29180513,0,16316273
1998-08-21,Dance With Me,Musical,0,15923354,30454684,0,15923354
1998-08-21,Dead Man on Campus,Black Comedy,1.4e+07,15064948,28812914,0,15064948
1999-05-19,Star Wars Ep. I: The Phantom Menace,Adventure,1.15e+08,474544677,810098111,552500000,1027044677
1999-08-06,The Sixth Sense,Thriller/Suspense,4e+07,293506292,516519546,379300000,672806292
1999-11-19,Toy Story 2,Adventure,9e+07,245852179,430358283,265506097,511358276
1999-06-10,Austin Powers: The Spy Who Shagged Me,Comedy,3.5e+07,206040085,363814867,106343402,312383487
1999-03-31,The Matrix,Action,6.5e+07,171479930,302790342,292037453,463517383
1999-06-16,Tarzan,Adventure,1.45e+08,171091819,302086036,277100000,448191819
1999-06-25,Big Daddy,Comedy,3e+07,163479795,288664126,65161488,228641283
1999-05-07,The Mummy,Adventure,8e+07,155385488,274371615,2.61e+08,416385488
1999-07-30,Runaway Bride,Romantic Comedy,7e+07,152257509,268838722,157880669,310138178
1999-07-14,The Blair Witch Project,Horror,6e+05,140539099,248156629,107760901,248300000
1999-12-17,Stuart Little,Adventure,1.05e+08,140015224,241076132,158800000,298815224
1999-12-10,The Green Mile,Drama,6e+07,136801374,235451323,153900000,290701374
1999-09-15,American Beauty,Drama,1.5e+07,130058047,223653890,226200000,356258047
1999-11-19,The World is Not Enough,Action,1.35e+08,126930660,223208108,234800000,361730660
1999-09-24,Double Jeopardy,Action,4e+07,116735231,205850485,61100000,177835231
1999-05-28,Notting Hill,Romantic Comedy,4.2e+07,116089678,204985113,247638548,363728226
1999-06-30,Wild Wild West,Adventure,1.75e+08,113805681,200952156,107423654,221229335
1999-03-05,Analyze This,Comedy,3e+07,106885658,188733133,7e+07,176885658
1999-06-18,The General's Daughter,Drama,6e+07,102705852,181352652,4.7e+07,149705852
1999-07-09,American Pie,Comedy,1.2e+07,101800948,179754817,132922200,234723148
1999-11-19,Sleepy Hollow,Horror,7e+07,101068340,177625555,1.06e+08,207068340
1999-07-23,Inspector Gadget,Adventure,7.5e+07,97387965,171962605,0,97387965
1999-07-23,The Haunting,Horror,8e+07,91188905,161016622,8.9e+07,180188905
1999-04-30,Entrapment,Thriller/Suspense,6.6e+07,87707396,154869158,123992604,211700000
1999-11-10,Pokemon: The First Movie,Adventure,3e+07,85744662,151235528,77900000,163644662
1999-02-05,Payback,Action,5e+07,81526121,143954588,80100000,161626121
1999-12-24,The Talented Mr. Ripley,Drama,4e+07,81292135,139324803,47500000,128792135
1999-12-22,Any Given Sunday,Drama,6e+07,75530832,130344227,24700000,100230832
1999-07-28,Deep Blue Sea,Action,6e+07,73648228,130044208,91400000,165048228
1999-12-24,Galaxy Quest,Adventure,4.5e+07,71423726,121636510,19100000,90523726
1999-12-31,Fantasia 2000 (Theatrical Release),Musical,8e+07,69610858,116078501,0,69610858
1999-08-06,The Thomas Crown Affair,Drama,4.8e+07,69304264,122371637,5.5e+07,124304264
1999-09-17,Blue Streak,Action,3.6e+07,68208190,120393026,49239967,117448157
1999-11-24,End of Days,Action,1e+08,66889043,117733026,145137932,212026975
1999-11-05,The Bone Collector,Thriller/Suspense,4.8e+07,66488090,117127031,84975000,151463090
1999-08-13,Bowfinger,Comedy,5.5e+07,66458769,117349433,32241000,98699769
1999-12-10,Deuce Bigalow: Male Gigolo,Comedy,1.8e+07,65535067,113770430,27400000,92935067
1999-04-16,Life,Comedy,7.5e+07,64062587,113118383,9459000,73521587
1999-01-29,She's All That,Romantic Comedy,1e+07,63465522,112064112,0,63465522
1999-10-01,Three Kings,Action,4.8e+07,60652036,106951086,47100000,107752036
1999-12-17,Bicentennial Man,Drama,9e+07,58220776,100913271,29200000,87420776
1999-12-10,The Cider House Rules,Drama,0,57547209,96196343,3.1e+07,88547209
1999-07-16,Eyes Wide Shut,Drama,6.5e+07,55691208,98336639,48576235,104267443
1999-04-09,Never Been Kissed,Romantic Comedy,0,55474757,97954436,0,55474757
1999-03-19,Forces of Nature,Romantic Comedy,0,52957800,93510124,4.1e+07,93957800
1999-01-15,Varsity Blues,Drama,1.6e+07,52894169,93397766,1400000,54294169
1999-02-12,Message in a Bottle,Drama,3e+07,52880016,93372775,0,52880016
1999-06-30,"South Park: Bigger, Longer & Uncut",Comedy,2.1e+07,52037603,91885289,0,52037603
1999-12-29,The Hurricane,Drama,3.8e+07,50699241,84428277,23257000,73956241
1999-09-10,Stigmata,Horror,3.2e+07,50041732,88358348,39400000,89441732
1999-10-29,House on Haunted Hill,Horror,1.9e+07,40846082,72087701,24244459,65090541
1999-12-17,Anna and the King,Drama,7.5e+07,39251128,67833176,0,39251128
1999-03-05,Cruel Intentions,Drama,1.1e+07,38230075,67504677,37573641,75803716
1999-03-31,10 Things I Hate About You,Romantic Comedy,1.3e+07,38177966,67412663,22236059,60414025
1999-10-15,Fight Club,Drama,6.5e+07,37030102,65333524,63821603,100851705
1999-02-12,My Favorite Martian,Comedy,6e+07,36850101,65067985,0,36850101
1999-02-26,8MM,Thriller/Suspense,4e+07,36443442,64349928,59955384,96398826
1999-09-17,For Love of the Game,Drama,5e+07,35188640,62134266,10924000,46112640
1999-12-22,Man on the Moon,Drama,5.2e+07,34580635,60119147,12827000,47407635
1999-06-04,Instinct,Drama,5.5e+07,34105207,60221198,0,34105207
1999-10-22,The Best Man,Romantic Comedy,9e+06,34102780,60134728,470000,34572780
1999-08-20,Mickey Blue Eyes,Comedy,4e+07,33864342,59795895,2e+07,53864342
1999-08-27,The 13th Warrior,Action,1.25e+08,32698899,57738015,2.9e+07,61698899
1999-02-19,October Sky,Drama,0,32683932,57711581,425933,33109865
1999-07-16,Lake Placid,Thriller/Suspense,2.7e+07,31770413,56098541,0,31770413
1999-10-08,Random Hearts,Drama,6.4e+07,31054924,54835171,32145076,63200000
1999-11-12,Dogma,Comedy,1e+07,30651422,53953276,13297443,43948865
1999-10-08,Superstar,Comedy,1.4e+07,30628981,54034491,0,30628981
1999-08-06,Mystery Men,Comedy,6.8e+07,29762011,52552207,3700000,33462011
1999-11-05,The Insider,Drama,6.8e+07,28965197,50855765,31300000,60265197
1999-12-21,"Girl, Interrupted",Drama,2.4e+07,28871190,48091381,0,28871190
1999-04-02,The Out-of-Towners,Comedy,4e+07,28544120,50401721,0,28544120
1999-02-26,The Other Sister,Romantic Comedy,0,27807627,49101260,0,27807627
1999-03-12,Baby Geniuses,Adventure,1.3e+07,27151490,47942686,0,27151490
1999-10-15,The Story of Us,Romantic Comedy,5e+07,27100030,47851819,0,27100030
1999-02-12,Blast from the Past,Comedy,3.5e+07,26613620,46992942,0,26613620
1999-07-16,The Wood,Comedy,6e+06,25059640,44249010,0,25059640
1999-07-09,Arlington Road,Thriller/Suspense,21500000,24419219,43118180,0,24419219
1999-08-04,The Iron Giant,Adventure,5e+07,23159305,40893494,8174612,31333917
1999-10-29,Being John Malkovich,Black Comedy,1.3e+07,22858926,39894425,9523455,32382381
1999-03-26,EDtv,Comedy,6e+07,22508689,39744671,12811000,35319689
1999-12-17,Magnolia,Drama,3.7e+07,22450975,37440430,25995827,48446802
1999-01-15,At First Sight,Drama,4e+07,22365133,39491187,0,22365133
1999-11-05,The Bachelor,Romantic Comedy,2.1e+07,21731001,38324289,15151377,36882378
1999-09-10,Stir of Echoes,Thriller/Suspense,1.2e+07,21133087,37315702,0,21133087
1999-03-26,Doug's 1st Movie,Adventure,5e+06,19421271,34293063,0,19421271
1999-07-02,Summer of Sam,Drama,2.2e+07,19288130,34057969,0,19288130
1999-11-12,Anywhere But Here,Drama,2.3e+07,18653615,32893062,0,18653615
1999-10-29,Galapagos,Documentary,0,18571938,28829589,8518276,27090214
1999-06-18,An Ideal Husband,Comedy,10700000,18542974,32742213,12798209,31341183
1999-10-01,Drive Me Crazy,Comedy,8e+06,17843379,31503869,4748072,22591451
1999-03-12,The Rage: Carrie 2,Horror,2.1e+07,17760244,31360116,0,17760244
1999-04-09,Go!,Black Comedy,6500000,16875273,29797479,11508168,28383441
1999-03-19,True Crime,Drama,0,16676845,29447102,0,16676845
1999-10-22,Bringing Out The Dead,Black Comedy,3.2e+07,16640210,29366282,0,16640210
1999-07-14,Muppets From Space,Adventure,2.4e+07,16304786,28790139,0,16304786
1999-05-14,A Midsummer Night's Dream,Comedy,0,16071990,28379080,8939655,25011645
1999-03-12,The Corruptor,Action,1e+07,15164492,26776670,0,15164492
1999-04-23,Election,Black Comedy,8500000,14943582,26386601,2259272,17202854
1999-10-29,Music of the Heart,Drama,0,14849583,26211013,0,14849583
2000-11-17,How the Grinch Stole Christmas,Adventure,1.23e+08,260044825,432234654,85096578,345141403
2000-12-22,Cast Away,Drama,8.5e+07,233632142,378969476,193598374,427230516
2000-05-24,Mission: Impossible 2,Action,1.2e+08,215409889,358483610,334178627,549588516
2000-05-05,Gladiator,Action,1.03e+08,187683805,312256814,2.7e+08,457683805
2000-12-15,What Women Want,Romantic Comedy,6.5e+07,182805123,298900609,191300000,374105123
2000-06-30,The Perfect Storm,Drama,1.2e+08,182618434,303912310,146093000,328711434
2000-10-06,Meet the Parents,Comedy,5.5e+07,166225040,276241564,164200000,330425040
2000-07-14,X-Men,Action,7.5e+07,157299717,261777071,139572650,296872367
2000-07-07,Scary Movie,Comedy,1.9e+07,157019771,261311188,120180229,277200000
2000-07-21,What Lies Beneath,Thriller/Suspense,9e+07,155464351,258722670,133229638,288693989
2000-05-19,Dinosaur,Adventure,127500000,137748063,229239347,218400000,356148063
2000-12-08,"Crouching Tiger, Hidden Dragon",Action,1.5e+07,128067808,204030400,85446864,213514672
2000-03-17,Erin Brockovich,Drama,5e+07,125548685,208937232,132256558,257805243
2000-11-03,Charlie's Angels,Action,9e+07,125305545,208333901,134430545,259736090
2000-12-27,Traffic,Drama,4.8e+07,124107476,196715724,84192524,208300000
2000-07-28,Nutty Professor II: The Klumps,Comedy,8.4e+07,123307945,205208206,4.3e+07,166307945
2000-06-02,Big Momma's House,Comedy,3.3e+07,117559438,195641584,5.6e+07,173559438
2000-09-29,Remember the Titans,Drama,3e+07,115654751,192320289,21051932,136706683
2000-06-28,The Patriot,Drama,1.1e+08,113330342,188603552,101969658,215300000
2000-12-22,Miss Congeniality,Comedy,4.5e+07,106807667,172951584,106613284,213420951
2000-06-21,Chicken Run,Adventure,4.2e+07,106793915,177725678,1.21e+08,227793915
2000-06-09,Gone in 60 Seconds,Action,103300000,101643008,169153569,1.31e+08,232643008
2000-11-22,Unbreakable,Thriller/Suspense,73243106,94999143,157702709,153100000,248099143
2000-06-23,"Me, Myself & Irene",Romantic Comedy,5.1e+07,90570999,150727610,58700000,149270999
2000-08-04,Space Cowboys,Adventure,6.5e+07,90454043,150511200,38420000,128874043
2000-12-15,The Emperor's New Groove,Adventure,1e+08,89296573,145551553,8e+07,169296573
2000-02-04,Scream 3,Horror,4e+07,89138076,148342954,72700000,161838076
2000-04-21,U-571,Action,6.2e+07,77086030,128286025,50544000,127630030
2000-11-17,Rugrats in Paris,Adventure,3e+07,76501438,126892724,26783375,103284813
2000-12-22,The Family Man,Comedy,6e+07,75764085,123496457,48951778,124715863
2000-08-04,Hollow Man,Horror,9e+07,73209340,121834460,117990660,191200000
2000-12-15,Chocolat,Drama,2.5e+07,71309760,113349414,81190583,152500343
2000-06-16,Shaft,Action,53012938,70327868,117039134,36862240,107190108
2000-07-07,The Kid,Comedy,6.5e+07,69688384,115974915,0,69688384
2000-05-19,Road Trip,Comedy,1.6e+07,68525609,114039835,51213501,119739110
2000-12-08,Vertical Limit,Action,7.5e+07,68473360,112635581,145026640,213500000
2000-08-25,Bring it On,Comedy,1e+07,68353550,113753495,22100000,90453550
2000-11-22,102 Dalmatians,Adventure,8.5e+07,66941559,110720486,0,66941559
2000-04-07,Rules of Engagement,Thriller/Suspense,6e+07,61322858,102053062,10397073,71719931
2000-08-18,The Cell,Thriller/Suspense,3.5e+07,61280963,101983339,24630263,85911226
2000-03-10,Mission to Mars,Adventure,9e+07,60874615,101307099,45125385,1.06e+08
2000-08-04,Coyote Ugly,Drama,4.5e+07,60786269,101160072,53130205,113916474
2000-02-11,Snow Day,Adventure,1.3e+07,60008303,99865387,2444624,62452927
2000-02-18,The Whole Nine Yards,Comedy,2.4e+07,57262492,95295827,28265375,85527867
2000-01-12,Next Friday,Comedy,9500000,57176582,95152863,2498725,59675307
2000-05-26,Shanghai Noon,Western,5.5e+07,56932305,94746334,14257530,71189835
2000-03-22,Romeo Must Die,Action,2.5e+07,55973336,93150427,35063424,91036760
2000-10-20,Dolphins,Documentary,0,5.4e+07,89866411,15600000,69600000
2000-03-17,Final Destination,Horror,2.3e+07,53302314,88705335,58734556,112036870
2000-12-19,Finding Forrester,Drama,4.3e+07,51768623,82464089,28245000,80013623
2000-03-31,The Road to El Dorado,Adventure,9.5e+07,50802661,84545425,14897339,65700000
2000-11-10,Men of Honor,Drama,3.2e+07,48814909,81134027,33524574,82339483
2000-12-15,"Dude, Where's My Car?",Comedy,1.3e+07,46729374,76885682,26450923,73180297
2000-02-11,The Tigger Movie,Adventure,2e+07,45542421,75791369,50605267,96147688
2000-12-22,"O Brother, Where Art Thou?",Comedy,2.6e+07,45506619,72272878,30257195,75763814
2000-04-28,Frequency,Drama,3.1e+07,44983704,74861557,23095967,68079671
2000-08-11,The Replacements,Comedy,5e+07,44737059,74451090,5317452,50054511
2000-07-21,Pokemon 2000,Adventure,3e+07,43746923,72803319,90200000,133946923
2000-02-11,The Beach,Drama,5e+07,39778599,66199264,0,39778599
2000-11-10,Little Nicky,Comedy,8e+07,39442871,65593358,18827520,58270391
2000-02-18,Pitch Black,Horror,2.3e+07,39235088,65294756,13947000,53182088
2000-08-18,The Original Kings of Comedy,Concert/Performance,3e+06,38168022,63518947,68316,38236338
2000-10-20,Bedazzled,Comedy,4.8e+07,37879996,63010976,52496228,90376224
2000-08-11,Autumn in New York,Drama,4e+07,37752931,62828158,52964753,90717684
2000-04-14,Keeping the Faith,Romantic Comedy,2.9e+07,37036404,61635713,8300000,45336404
2000-04-14,28 Days,Comedy,4.3e+07,37035515,61634242,25028457,62063972
2000-11-17,Bounce,Drama,3.5e+07,36805288,61240782,16620004,53425292
2000-02-18,Hanging Up,Comedy,4e+07,36037909,59974030,15829814,51867723
2000-04-28,The Flintstones in Viva Rock Vegas,Adventure,5.8e+07,35231365,58631786,24200000,59431365
2000-03-31,The Skulls,Thriller/Suspense,1.5e+07,35007180,58258697,0,35007180
2000-12-22,Thirteen Days,Drama,8e+07,34566746,54808297,31987801,66554547
2000-11-17,The 6th Day,Action,8.2e+07,34543701,57469427,61481197,96024898
2000-01-12,My Dog Skip,Drama,7e+06,34099640,56748373,1695679,35795319
2000-04-28,Where the Heart Is,Drama,1.5e+07,33771174,56201741,7090880,40862054
2000-10-20,Pay it Forward,Drama,4e+07,33508922,55722205,22187783,55696705
2000-12-22,Dracula 2000,Horror,2.8e+07,33000377,54011518,0,33000377
2000-04-07,Return to Me,Romantic Comedy,2.4e+07,32662299,54356361,0,32662299
2000-12-08,Proof of Life,Action,6.5e+07,32598931,53969440,30162074,62761005
2000-09-15,Almost Famous,Comedy,6e+07,32522352,54077152,14848839,47371191
2000-11-03,The Legend of Bagger Vance,Drama,6e+07,30695227,51082778,8540259,39235486
2000-08-25,The Art of War,Thriller/Suspense,4e+07,30199105,50257134,0,30199105
2000-12-08,Snatch,Black Comedy,1e+07,30093107,47696486,53500000,83593107
2000-08-11,Bless the Child,Thriller/Suspense,4e+07,29374178,48884293,11061516,40435694
2000-09-08,The Watcher,Thriller/Suspense,3.3e+07,28946615,48172748,18321214,47267829
2000-04-21,Love and Basketball,Drama,1.5e+07,27441122,45667319,268503,27709625
2000-03-31,High Fidelity,Comedy,2e+07,27277055,45394282,20604608,47881663
2000-10-27,Book of Shadows: Blair Witch 2,Horror,1.5e+07,26421314,43970160,21300000,47721314
2000-06-30,The Adventures of Rocky & Bullwinkle,Adventure,7.6e+07,26000610,43270024,9129000,35129610
2000-09-08,Nurse Betty,Black Comedy,2.4e+07,25170054,41887819,2562312,27732366
2000-02-25,Reindeer Games,Action,3.6e+07,23360779,38876841,0,23360779
2000-06-16,Titan A.E.,Adventure,7.5e+07,22751979,37863680,1.4e+07,36751979
2000-10-13,Billy Elliot,Drama,5e+06,21995263,36215352,87268201,109263464
2000-06-16,Boys and Girls,Romantic Comedy,1.6e+07,21799652,36278824,0,21799652
2000-05-12,Battlefield Earth: A Saga of the Year…,Action,8e+07,21471685,35733027,8253978,29725663
2000-09-22,Urban Legends: Final Cut,Horror,1.5e+07,21468807,35728237,17105555,38574362
2000-01-21,Down to You,Romantic Comedy,9e+06,20035310,33342620,0,20035310
2000-02-23,Wonder Boys,Comedy,3.5e+07,19389454,32259493,14033031,33422485
2000-03-10,The Ninth Gate,Thriller/Suspense,3.8e+07,18653746,31043430,39740562,58394308
2000-05-05,Michael Jordan to the MAX,Documentary,7e+06,18642318,30683527,0,18642318
2000-09-27,Best in Show,Comedy,6e+06,18621249,30874892,2074164,20695413
2001-11-16,Harry Potter and the Sorcerer’s Stone,Adventure,1.25e+08,317575550,502592948,657179821,974755371
2001-12-19,The Lord of the Rings: The Fellowship…,Adventure,1.09e+08,315544750,495269436,571666235,887210985
2001-11-02,"Monsters, Inc.",Adventure,1.15e+08,289423425,442725554,270334294,559757719
2001-05-18,Shrek,Adventure,5e+07,267655011,424181173,224157783,491812794
2001-08-03,Rush Hour 2,Action,9e+07,226164286,358426435,121261546,347425832
2001-05-04,The Mummy Returns,Adventure,9.8e+07,202007640,320142843,233032755,435040395
2001-05-25,Pearl Harbor,Action,151500000,198539855,314647077,250700000,449239855
2001-12-07,Ocean's Eleven,Thriller/Suspense,8.5e+07,183417150,289393737,267311379,450728529
2001-07-18,Jurassic Park III,Action,9.3e+07,181166115,287113079,184733885,365900000
2001-07-27,Planet of the Apes,Adventure,1e+08,180011740,285276650,182200000,362211740
2001-12-21,A Beautiful Mind,Drama,7.8e+07,170708996,265101640,146959062,317668058
2001-02-09,Hannibal,Horror,8.7e+07,165092266,261639149,185008014,350100280
2001-08-10,American Pie 2,Comedy,3e+07,145096820,229950256,141403180,286500000
2001-06-22,The Fast and the Furious,Action,3.8e+07,144512310,229023924,6.2e+07,206512310
2001-06-15,Lara Croft: Tomb Raider,Adventure,9.4e+07,131144183,207838040,142186002,273330185
2001-06-22,Dr. Dolittle 2,Adventure,7.2e+07,112950721,179004934,63151000,176101721
2001-03-30,Spy Kids,Adventure,3.5e+07,112692062,178595014,8.5e+07,197692062
2001-12-28,Black Hawk Down,Action,9.5e+07,108638745,167749118,51052340,159691085
2001-08-03,The Princess Diaries,Comedy,3e+07,108244774,171546119,57090000,165334774
2001-12-14,Vanilla Sky,Thriller/Suspense,7e+07,100614858,158655709,102111747,202726605
2001-08-10,The Others,Horror,1.7e+07,96522687,152969698,111242369,207765056
2001-07-13,Legally Blonde,Comedy,1.8e+07,96493426,152923323,45315809,141809235
2001-07-20,America's Sweethearts,Romantic Comedy,4.6e+07,93607673,148349968,67040820,160648493
2001-07-04,Cats & Dogs,Comedy,6e+07,93375151,147981463,107324849,200700000
2001-01-12,Save the Last Dance,Drama,1.3e+07,91038276,144277974,31206053,122244329
2001-06-08,Atlantis: The Lost Empire,Adventure,9e+07,84052762,133207290,101996258,186049020
2001-12-21,Jimmy Neutron: Boy Genius,Adventure,2.5e+07,80936232,127507276,22056304,102992536
2001-06-29,Artificial Intelligence: AI,Drama,9e+07,78616689,124592170,157283311,235900000
2001-10-05,Training Day,Drama,4.5e+07,76261036,120858919,28244326,104505362
