Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
2001-04-06,Along Came a Spider,Thriller/Suspense,2.8e+07,74058698,117368638,31100387,105159085
2001-04-13,Bridget Jones's Diary,Romantic Comedy,2.5e+07,71500556,113314485,210026602,281527158
2001-07-04,Scary Movie 2,Comedy,4.5e+07,71277420,112960852,69911681,141189101
2001-07-13,The Score,Thriller/Suspense,6.8e+07,71069884,112631949,42472207,113542091
2001-11-09,Shallow Hal,Romantic Comedy,4e+07,70836296,112179170,0,70836296
2001-06-08,Swordfish,Action,8e+07,69772969,110576590,77307444,147080413
2001-03-02,The Mexican,Action,4e+07,66808615,105878669,78429635,145238250
2001-02-16,Down to Earth,Comedy,3e+07,64172251,101700541,7e+06,71172251
2001-11-21,Spy Game,Action,9e+07,62362560,98795338,80687000,143049560
2001-01-26,The Wedding Planner,Romantic Comedy,2.8e+07,60400856,95723615,34327673,94728529
2001-11-30,Behind Enemy Lines,Action,4e+07,58855732,93064243,0,58855732
2001-12-25,Ali,Drama,1.09e+08,58183966,91853634,29500000,87683966
2001-05-18,Moulin Rouge,Musical,5.3e+07,57386369,90933106,121814219,179200588
2001-08-17,Rat Race,Comedy,4.8e+07,56607223,89711446,3e+07,86607223
2001-05-11,A Knight’s Tale,Adventure,4.1e+07,56083966,88882178,44538620,100622586
2001-06-01,The Animal,Comedy,2.2e+07,55762229,88372288,0,55762229
2001-09-28,Don’t Say a Word,Thriller/Suspense,5e+07,54997476,87158377,49490907,104488383
2001-04-06,Blow,Drama,3e+07,52990775,83980073,30291521,83282296
2001-12-14,The Royal Tenenbaums,Black Comedy,2.8e+07,52353636,81675088,19077240,71430876
2001-03-16,Exit Wounds,Action,3.3e+07,51758599,82027313,28200000,79958599
2001-03-16,Enemy at the Gates,Drama,8.5e+07,51396781,81453906,45574512,96971293
2001-08-13,K-PAX,Drama,4.8e+07,50315140,79739712,0,50315140
2001-10-05,Serendipity,Romantic Comedy,2.8e+07,50255310,79644899,27221987,77477297
2001-12-25,Kate and Leopold,Romantic Comedy,4.8e+07,47095453,73961713,23842325,70937778
2001-11-02,Domestic Disturbance,Thriller/Suspense,5.3e+07,45207112,71627486,9e+06,54207112
2001-09-28,Zoolander,Comedy,2.8e+07,45172250,71588834,15608731,60780981
2001-11-02,The One,Action,4.9e+07,43905746,69582066,28783380,72689126
2001-10-26,Thirteen Ghosts,Horror,1.9e+07,41867960,66352579,26600000,68467960
2001-10-12,Bandits,Comedy,7.5e+07,41523271,65802682,3e+07,71523271
2001-12-26,Gosford Park,Comedy,1.8e+07,41300105,63852550,0,41300105
2001-03-23,Heartbreakers,Comedy,3.8e+07,40334024,63921583,17419801,57753825
2001-12-28,I Am Sam,Drama,2.2e+07,40270895,62178363,52271523,92542418
2001-09-14,Hardball,Drama,2.1e+07,40222729,63742148,3505831,43728560
2001-06-08,Evolution,Comedy,8e+07,38311134,60715696,60030798,98341932
2001-08-31,Jeepers Creepers,Horror,1e+07,37904175,60070745,21034860,58939035
2001-12-14,Not Another Teen Movie,Comedy,1.5e+07,37882551,59928714,24518792,62401343
2001-07-06,Kiss of the Dragon,Action,2.5e+07,36833473,58373890,0,36833473
2001-02-16,Recess: School's Out,Adventure,1e+07,36696761,58157228,7754709,44451470
2001-11-23,In the Bedroom,Drama,1700000,35930604,55647844,6207267,42137871
2001-11-21,Black Knight,Adventure,3.5e+07,33422806,52908083,0,33422806
2001-03-02,See Spot Run,Adventure,1.6e+07,33357476,52865108,9700076,43057552
2001-11-02,Le Fabuleux destin d'Amélie Poulain,Comedy,10350000,33201661,51983733,1.41e+08,174201661
2001-04-27,Driven,Action,7.2e+07,32616869,51691392,2.2e+07,54616869
2001-06-01,What's the Worst That Could Happen?,Comedy,3e+07,32267774,51138149,6194297,38462071
2001-07-11,Final Fantasy: The Spirits Within,Adventure,1.37e+08,32131830,50922699,5.3e+07,85131830
2001-10-19,From Hell,Thriller/Suspense,3.5e+07,31598308,50073958,37114057,68712365
2001-12-26,Monster's Ball,Drama,4e+06,31273922,48299261,12492541,43766463
2001-12-21,How High,Comedy,1.2e+07,31155435,49086549,66960,31222395
2001-08-24,Jay and Silent Bob Strike Back,Comedy,2.2e+07,30059386,47638280,3703014,33762400
2001-01-12,Double Take,Action,2.4e+07,29823162,47263908,0,29823162
2001-10-19,Riding in Cars with Boys,Drama,4.7e+07,29781453,47197808,0,29781453
2001-06-27,Baby Boy,Drama,1.6e+07,28734552,45538672,0,28734552
2001-12-21,The Majestic,Drama,7.2e+07,27796042,43873849,9510292,37306334
2001-03-23,The Brothers,Comedy,6e+06,27457409,43514654,500782,27958191
2001-03-30,Someone Like You,Romantic Comedy,2.3e+07,27338033,43325468,11346873,38684906
2001-04-11,Joe Dirt,Comedy,1.6e+07,27087695,42928725,3900000,30987695
2001-09-07,The Musketeer,Adventure,4e+07,27053815,42875030,0,27053815
2001-04-20,Crocodile Dundee in Los Angeles,Adventure,2.5e+07,25590119,40555361,13802992,39393111
2001-03-16,Memento,Thriller/Suspense,5e+06,25544867,40483646,14178229,39723096
2001-08-17,Captain Corelli's Mandolin,Drama,5.7e+07,25528495,40457696,36569000,62097495
2001-02-16,Sweet November,Drama,4e+07,25288103,40076722,40466125,65754228
2001-03-09,15 Minutes,Thriller/Suspense,4.2e+07,24375436,38630328,31956428,56331864
2001-09-28,Hearts in Atlantis,Drama,3.1e+07,24185781,38329761,6700000,30885781
2001-05-18,Angel Eyes,Drama,3.8e+07,24044532,38105906,5500000,29544532
2001-10-12,Corky Romano,Comedy,1.1e+07,23978402,37993009,1137701,25116103
2001-11-09,Heist,Action,3.5e+07,23483357,37216557,5423460,28906817
2001-04-11,Kingdom Come,Comedy,7e+06,23247539,36842831,146400,23393939
2001-12-21,Joe Somebody,Comedy,3.8e+07,22770864,35964255,1745126,24515990
2001-09-07,Two Can Play That Game,Romantic Comedy,1.3e+07,22235901,35239578,155549,22391450
2001-10-05,Joy Ride,Thriller/Suspense,2.3e+07,21973182,34823217,0,21973182
2001-02-02,Valentine,Horror,1e+07,20384136,32304890,0,20384136
2002-05-03,Spider-Man,Adventure,1.39e+08,403706375,623278172,4.18e+08,821706375
2002-12-18,The Lord of the Rings: The Two Towers,Adventure,9.4e+07,342548984,524065182,592150661,934699645
2002-05-16,Star Wars Ep. II: Attack of the Clones,Adventure,1.15e+08,310676740,479650657,346018875,656695615
2002-11-15,Harry Potter and the Chamber of Secrets,Adventure,1e+08,261987880,403923334,616991754,878979634
