title,startYear,url
Groom Lake,2002,https://www.rottentomatoes.com/m/groom_lake
Eight Legged Freaks,2002,https://www.rottentomatoes.com/m/eight_legged_freaks
Arachnid,2001,https://www.rottentomatoes.com/m/arachnid
Demonicus,2001,https://www.rottentomatoes.com/m/demonicus
Vampires: Los Muertos,2002,https://www.rottentomatoes.com/m/vampires_los_muertos
13th Child,2002,https://www.rottentomatoes.com/m/13th_child
The Red Right Hand,2001,https://www.rottentomatoes.com/m/red_right_hand
Desecration,1999,https://www.rottentomatoes.com/m/desecration
Freez'er,2001,https://www.rottentomatoes.com/m/freezer
Killer Me,2001,https://www.rottentomatoes.com/m/killer_me
Christmas Nightmare,2001,https://www.rottentomatoes.com/m/christmas_nightmare
Vampire Junction,2001,https://www.rottentomatoes.com/m/vampire_junction
Crazy Lips,2000,https://www.rottentomatoes.com/m/crazy_lips
Kill Me Tomorrow,2000,https://www.rottentomatoes.com/m/kill_me_tomorrow
Below,2002,https://www.rottentomatoes.com/m/below
.com for Murder,2002,https://www.rottentomatoes.com/m/com_for_murder
Raped by an Angel 2: The Uniform Fan,1998,https://www.rottentomatoes.com/m/raped_by_an_angel_2_the_uniform_fan
See No Evil,2006,https://www.rottentomatoes.com/m/see_no_evil
Tomie: Replay,2000,https://www.rottentomatoes.com/m/tomie_replay
The Barber,2002,https://www.rottentomatoes.com/m/barber
Dog Soldiers,2002,https://www.rottentomatoes.com/m/dog_soldiers
Hui zhuan shou shi,1997,https://www.rottentomatoes.com/m/hui_zhuan_shou_shi
My Little Eye,2002,https://www.rottentomatoes.com/m/my_little_eye
Spiders II: Breeding Ground,2001,https://www.rottentomatoes.com/m/spiders_ii_breeding_ground
Darkness Falls,2003,https://www.rottentomatoes.com/m/darkness_falls
Flying Virus,2001,https://www.rottentomatoes.com/m/flying_virus
Body Shop,2002,https://www.rottentomatoes.com/m/body_shop
Dreamcatcher,2003,https://www.rottentomatoes.com/m/dreamcatcher
Deathwatch,2002,https://www.rottentomatoes.com/m/deathwatch
Infested,2002,https://www.rottentomatoes.com/m/infested
Ghost Ship,2002,https://www.rottentomatoes.com/m/ghost_ship
Alias,2002,https://www.rottentomatoes.com/m/alias
Man-Thing,2005,https://www.rottentomatoes.com/m/manthing
Tail Sting,2001,https://www.rottentomatoes.com/m/tail_sting
Sorum,2001,https://www.rottentomatoes.com/m/sorum
Essence of Echoes,2002,https://www.rottentomatoes.com/m/essence_of_echoes
Wrong Turn,2003,https://www.rottentomatoes.com/m/wrong_turn
Dial D for Demons,2000,https://www.rottentomatoes.com/m/dial_d_for_demons
The Stoneman,2002,https://www.rottentomatoes.com/m/stoneman
The Ring,2002,https://www.rottentomatoes.com/m/ring
Bloody Mallory,2002,https://www.rottentomatoes.com/m/bloody_mallory
Fabled,2002,https://www.rottentomatoes.com/m/fabled
Fausto 5.0,2001,https://www.rottentomatoes.com/m/fausto_50
